season,date,home,opponent,location_text,result_text,cnu_pts,opp_pts,cnu_fgm,cnu_fga,cnu_orb,cnu_drb,cnu_trb,cnu_to,opp_fgm,opp_fga,opp_orb,opp_drb,opp_trb,opp_to,cnu_first_half,opp_first_half,ot,box_url,win,goal_reb,goal_to,goal_orb,goal_def30,goals_hit
2015-2016,2016-03-18,0,St. Thomas,"Salem, Va. (Salem Civic Center)","St. Thomas 66, Chris. Newport 62",62,66,27,59,8,27,35,12,23,56,11,29,40,12,25,33,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm32.htm,0,0,0,0,0,0
2015-2016,2016-03-12,0,College of Wooster,"Oswego, N.Y. (Max Ziel Gymnasium)","Chris. Newport 81, College of Wooster 61",81,61,29,54,8,25,33,12,20,54,12,25,37,17,36,19,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm31.htm,1,0,1,0,1,2
2015-2016,2016-03-11,1,Keene State College,"Oswego, N.Y. (Max Ziel Gymnasium)","Chris. Newport 74, Keene State College 62",74,62,25,59,12,30,42,17,20,52,8,26,34,14,33,27,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm30.htm,1,1,0,0,1,2
2015-2016,2016-03-05,1,NYU,"Newport News, Va. (Freeman Center)","Chris. Newport 67, NYU 64",67,64,22,63,14,26,40,6,25,59,15,29,44,11,33,29,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm29.htm,1,0,1,0,1,2
2015-2016,2016-03-04,1,Lycoming,"Newport News, Va. (Freeman Center)","Chris. Newport 79, Lycoming 71",79,71,28,57,6,28,34,15,27,55,6,24,30,14,43,24,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm28.htm,1,1,0,0,1,2
2015-2016,2016-02-27,1,Salisbury,"Newport News, Va. (Freeman Center)","Chris. Newport 68, Salisbury 67 (OT)",68,67,23,47,8,22,30,18,22,52,9,22,31,21,23,27,1,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm27.htm,1,0,1,0,1,2
2015-2016,2016-02-25,1,St. Mary's (Md.),"Newport News, Va. (Freeman Center)","Chris. Newport 57, St. Mary's (Md.) 56",57,56,16,52,18,24,42,14,24,49,3,24,27,15,29,27,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm26.htm,1,1,1,1,1,4
2015-2016,2016-02-20,1,"Marymount (VA) 10-15,","Newport News, Va. (Freeman Center)","Chris. Newport 89, Marymount (VA) 59",89,59,33,57,12,27,39,13,19,50,10,14,24,12,46,24,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm25.htm,1,1,0,1,1,3
2015-2016,2016-02-17,1,"St. Mary's (Md.) 12-12,","Newport News, Va. (Freeman Center)","Chris. Newport 69, St. Mary's (Md.) 53",69,53,29,64,8,29,37,9,21,53,7,29,36,17,39,28,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm24.htm,1,1,1,0,1,3
2015-2016,2016-02-13,0,"York (Pa.) 9-14, 5-11 CAC","York, Pa. (Charles Wolf Gymnasium)","Chris. Newport 80, York (Pa.) 60",80,60,27,63,16,25,41,8,24,46,3,25,28,17,40,20,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm23.htm,1,1,1,1,1,4
2015-2016,2016-02-10,1,"Mary Washington 11-11,","Newport News, Va. (Freeman Center)","Chris. Newport 79, Mary Washington 68",79,68,27,59,12,29,41,15,23,53,4,22,26,11,44,32,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm22.htm,1,1,0,0,0,1
2015-2016,2016-02-06,0,"Wesley 7-14,","Dover, Del. (Wentworth Gymnasium)","Chris. Newport 78, Wesley 74",78,74,25,46,9,18,27,15,25,52,12,14,26,5,36,40,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm21.htm,1,1,0,1,0,2
2015-2016,2016-02-03,0,"Salisbury 15-5, 8-5 CAC","Salisbury, Md. (Maggs PAC)","Chris. Newport 61, Salisbury 59 (OT)",61,59,23,57,13,17,30,13,20,54,18,23,41,17,24,28,1,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm20.htm,1,0,1,0,1,2
2015-2016,2016-02-01,0,"Frostburg State 6-13, 4-8 CAC","Frostburg, Md. (Bobcat Arena)","Chris. Newport 82, Frostburg State 71",82,71,26,56,15,31,46,14,25,63,11,22,33,12,40,31,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm19.htm,1,1,0,1,0,2
2015-2016,2016-01-30,1,"Penn State Harrisburg 10-8,","Newport News, Va. (Freeman Center)","Chris. Newport 90, Penn State Harrisburg 41",90,41,23,45,13,22,35,16,7,36,10,14,24,25,50,19,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm18.htm,1,1,1,1,1,4
2015-2016,2016-01-27,0,"Southern Virginia 6-11, 5-5 CAC","Buena Vista, Va. (Knights Sports Arena)","Chris. Newport 82, Southern Virginia 73",82,73,26,52,8,19,27,15,22,47,5,20,25,21,36,27,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm17.htm,1,1,1,0,1,3
2015-2016,2016-01-20,0,"St. Mary's (Md.) 8-8, 4-5 CAC","St. Mary's City, Md. (O'Brien ARC Arena)","Chris. Newport 83, St. Mary's (Md.) 67",83,67,24,59,14,30,44,14,22,58,11,27,38,18,35,26,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm16.htm,1,1,1,1,1,4
2015-2016,2016-01-16,1,"York (Pa.) 7-8,","Newport News, Va. (Freeman Center)","Chris. Newport 72, York (Pa.) 53",72,53,24,53,15,25,40,13,15,44,5,20,25,16,32,27,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm15.htm,1,1,1,1,1,4
2015-2016,2016-01-13,0,"Mary Washington 7-7, 3-4 CAC","Fredericksburg, Va. (Ron Rosner Arena)","Chris. Newport 80, Mary Washington 62",80,62,32,67,16,24,40,13,23,63,18,23,41,18,46,20,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm14.htm,1,0,1,1,1,3
2015-2016,2016-01-09,1,Wesley 3-10 (1-5 CAC),"Newport News, Va. (Freeman Center)","Chris. Newport 81, Wesley 68",81,68,25,54,11,25,36,16,26,59,10,20,30,15,36,32,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm13.htm,1,1,0,0,0,1
2015-2016,2016-01-06,0,"Penn State Harriburg 8-4,","Middletown, Pa. (Capital Union Building)","Chris. Newport 77, Penn State Harrisburg 65",77,65,18,43,8,24,32,15,23,54,7,18,25,10,39,26,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm12.htm,1,1,0,0,1,2
2015-2016,2016-01-02,1,"Southern Virginia 3-8,","Newport News, Va. (Freeman Center)","Chris. Newport 75, Southern Virginia 40",75,40,27,58,18,33,51,15,14,54,14,16,30,15,34,23,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm11.htm,1,1,0,1,1,3
2015-2016,2015-12-30,1,Scranton,"Newport News, Va. (Freeman Center)","Scranton 65, Chris. Newport 58",58,65,21,52,10,18,28,14,21,40,4,22,26,16,33,30,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm10.htm,0,1,1,0,0,2
2015-2016,2015-12-29,1,Shenandoah,"Newport News, Va. (Freeman Center)","Chris. Newport 80, Shenandoah 69",80,69,25,67,14,26,40,12,24,57,11,32,43,20,37,24,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm09.htm,1,0,1,0,1,2
2015-2016,2015-12-16,0,Pitt-Greensburg,"Greensburg, Pa. (Chambers Hall)","Chris. Newport 93, Pitt-Greensburg 74",93,74,36,66,11,26,37,13,23,56,10,21,31,17,47,33,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm08.htm,1,1,1,0,0,2
2015-2016,2015-12-13,0,Virginia Wesleyan,"Virginia Beach, Va. (Batten Center)","Chris. Newport 64, Virginia Wesleyan 61",64,61,25,51,10,26,36,23,20,61,16,18,34,15,33,29,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm07.htm,1,1,0,0,1,2
2015-2016,2015-12-05,0,"Marymount (VA) 2-5, 0-2 CAC","Arlington, Va. (Verizon Sports Arena)","Chris. Newport 68, Marymount (VA) 58",68,58,23,59,18,32,50,15,18,54,8,20,28,6,28,28,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm06.htm,1,1,0,1,1,3
2015-2016,2015-12-02,1,"Salisbury 5-1, 0-1 CAC","Newport News, Va. (Freeman Center)","Chris. Newport 71, Salisbury 60",71,60,23,49,15,22,37,15,22,52,11,16,27,13,30,32,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm05.htm,1,1,0,1,0,2
2015-2016,2015-11-29,1,Frostburg State 1-4 (0-1 CAC),"Newport News, Va. (Freeman Center)","Chris. Newport 74, Frostburg State 47",74,47,28,60,14,33,47,17,16,58,11,25,36,18,40,20,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm04.htm,1,1,1,1,1,4
2015-2016,2015-11-24,0,Randolph-Macon,"Ashland, Va. (Crenshaw Gym)","Chris. Newport 74, Randolph-Macon 65",74,65,25,46,7,25,32,13,24,56,12,18,30,14,42,31,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm03.htm,1,1,1,0,0,2
2015-2016,2015-11-17,1,Washington & Lee,"Newport News, Va. (Freeman Center)","Chris. Newport 70, Washington & Lee 52",70,52,28,57,12,27,39,17,20,49,7,20,27,18,36,34,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm02.htm,1,1,1,1,0,3
2015-2016,2015-11-15,1,Lynchburg,"Newport News, Va. (Freeman Center)","Chris. Newport 72, Lynchburg 56",72,56,21,59,18,27,45,13,17,59,17,23,40,15,35,21,0,https://static.cnusports.com/custompages/mbball/Stats/2015-2016/cnumgm01.htm,1,1,1,1,1,4
2016-2017,2017-03-10,1,Keene State,"Babson Park, Mass. (Staake Gymnasium)","Keene State 68, Chris. Newport 64",64,68,23,62,14,24,38,9,18,51,11,32,43,12,36,28,0,https://static.cnusports.com/custompages/mbball/Stats/2016-2017/16mbbg30.htm,0,0,1,0,1,2
2016-2017,2017-03-04,0,Swarthmore,"Swarthmore, Pa. (Tarble Pavilion)","Chris. Newport 77, Swarthmore 67",77,67,29,61,19,23,42,11,26,53,5,20,25,13,39,25,0,https://static.cnusports.com/custompages/mbball/Stats/2016-2017/16mbbg29.htm,1,1,1,1,1,4
2016-2017,2017-03-03,1,Morrisville State,"Swarthmore, Pa. (Tarble Pavilion)","Chris. Newport 81, Morrisville State 45",81,45,33,60,15,26,41,13,14,48,11,15,26,15,45,23,0,https://static.cnusports.com/custompages/mbball/Stats/2016-2017/16mbbg28.htm,1,1,1,1,1,4
2016-2017,2017-02-25,1,Salisbury,"Newport News, Va. (Freeman Center)","Chris. Newport 63, Salisbury 62",63,62,22,56,13,24,37,8,22,54,12,26,38,12,25,30,0,https://static.cnusports.com/custompages/mbball/Stats/2016-2017/16mbbg27.htm,1,0,1,0,0,1
2016-2017,2017-02-23,1,Marymount (VA),"Newport News, Va. (Freeman Center)","Chris. Newport 78, Marymount (VA) 53",78,53,30,57,12,27,39,7,17,46,7,20,27,11,38,20,0,https://static.cnusports.com/custompages/mbball/Stats/2016-2017/16mbbg26.htm,1,1,1,1,1,4
2016-2017,2017-02-18,0,"York (Pa.) 16-9, 12-6 CAC","York, Pa. (Charles Wolf Gymnasium)","Chris. Newport 70, York (Pa.) 59",70,59,19,49,14,32,46,20,20,50,2,22,24,14,30,32,0,https://static.cnusports.com/custompages/mbball/Stats/2016-2017/16mbbg25.htm,1,1,0,1,0,2
2016-2017,2017-02-15,0,"Southern Virginia 4-20,","Buena Vista, Va. (Knight Sports Arena)","Chris. Newport 69, Southern Virginia 45",69,45,26,56,9,29,38,13,14,58,12,26,38,17,38,21,0,https://static.cnusports.com/custompages/mbball/Stats/2016-2017/16mbbg24.htm,1,0,1,0,1,2
2016-2017,2017-02-11,1,"Wesley 9-14,","Newport News, Va. (Freeman Center)","Chris. Newport 90, Wesley 50",90,50,35,63,9,34,43,12,22,63,10,21,31,14,37,19,0,https://static.cnusports.com/custompages/mbball/Stats/2016-2017/16mbbg23.htm,1,1,1,0,1,3
2016-2017,2017-02-08,1,"Marymount (VA) 10-12,","Newport News, Va. (Freeman Center)","Chris. Newport 72, Marymount (VA) 52",72,52,29,64,16,28,44,15,15,53,12,22,34,15,33,24,0,https://static.cnusports.com/custompages/mbball/Stats/2016-2017/16mbbg22.htm,1,1,0,1,1,3
2016-2017,2017-02-04,0,"St. Mary's (Md.) 10-11, 5-9 CAC","St. Mary's City, Md. (O'Brien ARC Arena)","Chris. Newport 88, St. Mary's (Md.) 61",88,61,33,59,15,33,48,14,17,52,6,19,25,14,48,22,0,https://static.cnusports.com/custompages/mbball/Stats/2016-2017/16mbbg21.htm,1,1,0,1,1,3
2016-2017,2017-02-01,0,"Mary Washington 10-10, 6-7 CAC","Fredericksburg, Va. (Ron Rosner Arena)","Chris. Newport 73, Mary Washington 63",73,63,24,57,10,35,45,13,19,64,15,31,46,13,31,28,0,https://static.cnusports.com/custompages/mbball/Stats/2016-2017/16mbbg20.htm,1,0,0,0,1,1
2016-2017,2017-01-28,1,"Penn St. Harrisburg 8-11,","Newport News, Va. (Freeman Center)","Chris. Newport 75, Penn St. Harrisburg 47",75,47,25,69,24,38,62,13,16,59,12,25,37,16,33,25,0,https://static.cnusports.com/custompages/mbball/Stats/2016-2017/16mbbg19.htm,1,1,1,1,1,4
2016-2017,2017-01-25,1,"Salisbury 14-4,","Newport News, Va. (Freeman Center)","Chris. Newport 55, Salisbury 53",55,53,17,47,8,31,39,16,18,59,11,26,37,10,21,27,0,https://static.cnusports.com/custompages/mbball/Stats/2016-2017/16mbbg18.htm,1,1,0,0,1,2
2016-2017,2017-01-21,0,"Frostburg 4-13,","Frostburg, Md. (Bobcat Arena)","Chris. Newport 93, Frostburg 67",93,67,35,62,11,26,37,8,26,67,21,18,39,11,41,34,0,https://static.cnusports.com/custompages/mbball/Stats/2016-2017/16mbbg17.htm,1,0,1,1,0,2
2016-2017,2017-01-18,1,"Mary Washington 8-8,","Newport News, Va. (Freeman Center)","Chris. Newport 81, Mary Washington 65",81,65,29,61,11,33,44,10,22,64,11,24,35,8,41,32,0,https://static.cnusports.com/custompages/mbball/Stats/2016-2017/16mbbg16.htm,1,1,0,0,0,1
2016-2017,2017-01-14,0,"Penn St. Harrisburg 6-9,","Middletown, Pa. (Capital Union Building)","Chris. Newport 73, Penn St. Harrisburg 55",73,55,23,49,12,26,38,11,18,49,7,27,34,10,30,23,0,https://static.cnusports.com/custompages/mbball/Stats/2016-2017/16mbbg15.htm,1,1,0,1,1,3
2016-2017,2017-01-11,1,"St. Mary's (Md.) 7-7,","Newport News, Va. (Freeman Center)","Chris. Newport 68, St. Mary's (Md.) 60",68,60,22,58,13,20,33,10,20,43,6,28,34,21,29,34,0,https://static.cnusports.com/custompages/mbball/Stats/2016-2017/16mbbg14.htm,1,0,1,0,0,1
2016-2017,2017-01-08,0,"Marymount (VA) 7-6, 4-2 CAC","Arlington, Va. (Verizon Sports Arena)","Chris. Newport 70, Marymount (VA) 57",70,57,25,65,15,21,36,9,18,45,9,26,35,15,29,28,0,https://static.cnusports.com/custompages/mbball/Stats/2016-2017/16mbbg13.htm,1,1,1,0,1,3
2016-2017,2017-01-04,0,Wesley 5-7; 3-2 CAC,"Dover, Del. (Wentworth Gymnasium)","Chris. Newport 71, Wesley 62",71,62,26,54,10,15,25,10,21,55,21,21,42,18,36,24,0,https://static.cnusports.com/custompages/mbball/Stats/2016-2017/16mbbg12.htm,1,0,1,0,1,2
